"title","year","genre","duration","metacritic","rating","votes","worldwide_gross_income","user_review","critics_review"
"The Cabinet of Dr. Caligari",1920,"Crime",76,NA,8.1,34504,0.008811,237,160
"The Kid",1921,"Comedy",68,NA,8.4,56858,0.026916,173,105
"Nosferatu",1922,"Horror",94,NA,8,63322,0.019054,419,202
"Battleship Potemkin",1925,"History",75,NA,8,36901,0.061389,210,85
"The Gold Rush",1925,"Adventure",95,NA,8.3,59483,0.026916,190,125
"Metropolis",1927,"Drama",153,98,8.3,99845,1.349711,495,208
"The General",1926,"Action",67,NA,8.3,47195,NA,288,117
"Un Chien Andalou",1929,"Short",NA,NA,7.9,30481,NA,NA,NA
"All Quiet on the Western Front",1930,"Drama",152,NA,8.1,44514,NA,240,102
"City Lights",1931,"Comedy",87,NA,8.6,93912,0.046008,295,122
"Dracula",1931,"Horror",75,NA,7.6,30184,0.085204,556,163
"Frankenstein",1931,"Horror",70,NA,8,44424,0.001626,569,125
"M",1931,"Crime",117,NA,8.4,89616,0.035566,359,155
"Freaks",1932,"Drama",64,NA,8,29972,0.004072,283,158
"Duck Soup",1933,"Comedy",69,NA,8,44848,0.1038,281,78
"King Kong",1933,"Adventure",100,NA,8,61169,0.000651,511,162
"It Happened One Night",1934,"Comedy",105,NA,8.2,57714,NA,299,120
"The 39 Steps",1935,"Mystery",86,NA,7.8,37586,0.051711,249,116
"Bride of Frankenstein",1935,"Horror",75,NA,7.9,29528,0.010493,281,120
"Modern Times",1936,"Comedy",87,96,8.6,123603,0.457688,307,115
"Snow White and the Seven Dwarfs",1937,"Animation",83,NA,7.7,119027,184.925486,260,173
"The Adventures of Robin Hood",1938,"Action",102,97,8,36789,NA,279,107
"Bringing Up Baby",1938,"Comedy",102,NA,8,42030,0.01118,299,89
"The Lady Vanishes",1938,"Comedy",96,NA,8,33752,0.039776,225,103
"Gone with the Wind",1939,"Drama",238,NA,8.2,194570,402.352579,881,197
"Mr. Smith Goes to Washington",1939,"Drama",129,NA,8.3,70505,0.144738,296,88
"Stagecoach",1939,"Adventure",96,NA,7.9,28393,NA,400,103
"The Wizard of Oz",1939,"Adventure",102,100,8.1,262132,26.142032,688,168
"Fantasia",1940,"Animation",125,NA,7.8,66572,76.411401,342,119
"The Grapes of Wrath",1940,"Drama",129,NA,8.1,56602,NA,341,90
"The Great Dictator",1940,"Comedy",125,NA,8.5,119966,0.969879,267,141
"His Girl Friday",1940,"Comedy",92,NA,8.1,38493,NA,421,101
"The Philadelphia Story",1940,"Comedy",112,NA,8.1,47271,0.411442,221,128
"Pinocchio",1940,"Animation",88,NA,7.5,79120,121.892045,202,140
"Rebecca",1940,"Mystery",130,NA,8.2,79450,0.072275,339,200
"Citizen Kane",1941,"Drama",119,NA,8.4,271165,1.594107,1452,248
"Dumbo",1941,"Animation",64,NA,7.3,75991,0.003731,173,130
"The Maltese Falcon",1941,"Crime",100,NA,8.2,103084,0.001255,416,134
"Bambi",1942,"Animation",70,NA,7.4,83357,267.44715,181,118
"Casablanca",1942,"Drama",102,NA,8.6,354005,4.374761,1303,196
"Kate & Leopold",2001,"Comedy",118,44,6.3,59951,76.019048,341,115
"Shadow of a Doubt",1943,"Thriller",108,NA,8,42418,NA,265,99
"Arsenic and Old Lace",1944,"Comedy",118,NA,8.1,51594,NA,285,87
"Double Indemnity",1944,"Crime",107,NA,8.4,88089,0.013886,397,147
"The Best Years of Our Lives",1946,"Drama",170,NA,8.2,36573,23.65662,288,125
"Laura",1944,"Crime",88,NA,8.1,28491,NA,285,123
"Spellbound",1945,"Film-Noir",111,NA,7.7,30640,0.019,186,93
"The Big Sleep",1946,"Crime",114,NA,8.1,60271,0.022356,284,114
"It's a Wonderful Life",1946,"Drama",130,NA,8.6,245046,6.13072,948,177
"Notorious",1946,"Drama",102,NA,8.1,67596,0.113061,348,145
"Miracle on 34th Street",1947,"Comedy",96,NA,7.9,27599,NA,184,109
"Key Largo",1948,"Crime",100,NA,7.9,26495,9.52442,181,70
"Bicycle Thieves",1948,"Drama",89,NA,8.4,83409,0.428978,309,163
"Rope",1948,"Crime",80,NA,8,88618,0.010046,397,119
"The Treasure of the Sierra Madre",1948,"Action",126,NA,8.3,71910,0.215295,273,98
"The Third Man",1949,"Film-Noir",104,NA,8.3,102915,1.225424,475,252
"All About Eve",1950,"Drama",138,NA,8.4,75075,0.150438,373,140
"Cinderella",1950,"Animation",74,NA,7.3,93731,95.126535,155,128
"Harvey",1950,"Comedy",104,NA,8.1,42373,NA,243,82
"Rashomon",1950,"Crime",88,NA,8.3,91765,0.046808,348,141
"Sunset Blvd.",1950,"Drama",110,NA,8.5,125287,0.299645,615,178
"The African Queen",1951,"Adventure",105,NA,7.9,55484,0.051357,253,124
"Alice in Wonderland",1951,"Animation",75,NA,7.4,87099,NA,179,96
"The Day the Earth Stood Still",1951,"Sci-Fi",92,NA,7.8,61109,NA,430,137
"Strangers on a Train",1951,"Crime",101,NA,8.1,86343,NA,327,122
"A Streetcar Named Desire",1951,"Drama",122,NA,8.1,72364,0.049523,281,88
"High Noon",1952,"Drama",85,89,8.1,72202,NA,396,138
"Ikiru",1952,"Drama",143,NA,8.3,37109,0.090773,218,129
"Singin' in the Rain",1952,"Comedy",103,NA,8.4,134471,1.864182,671,155
"From Here to Eternity",1953,"Drama",118,NA,7.8,31376,0.036416,184,124
"Peter Pan",1953,"Animation",77,NA,7.4,74432,87.404651,128,135
"Roman Holiday",1953,"Comedy",118,76,8.1,88920,NA,289,118
"The Wages of Fear",1953,"Adventure",131,NA,8.2,31560,0.001098,169,138
"Shane",1953,"Drama",118,NA,7.7,26286,NA,307,87
"Stalag 17",1953,"Comedy",120,NA,8.1,41468,NA,163,97
"Diabolique",1955,"Drama",117,NA,8.2,37017,0.012498,191,143
"Dial M for Murder",1954,"Crime",105,NA,8.2,93546,0.018816,356,107
"On the Waterfront",1954,"Crime",108,88,8.3,90271,NA,332,163
"Rear Window",1954,"Mystery",112,NA,8.6,283273,37.032034,855,157
"Sabrina",1954,"Comedy",113,72,7.7,40723,NA,191,92
"Seven Samurai",1954,"Drama",207,99,8.7,208488,0.322773,715,130
"La Strada",1954,"Drama",108,NA,8.1,42646,0.019793,150,113
"East of Eden",1955,"Drama",118,NA,8,27929,0.024079,196,95
"Lady and the Tramp",1955,"Animation",76,NA,7.4,72500,93.933394,147,127
"The Night of the Hunter",1955,"Crime",92,99,8.1,58859,0.002001,453,211
"Rebel Without a Cause",1955,"Drama",111,NA,7.8,58627,0.199963,335,165
"To Catch a Thief",1955,"Mystery",106,NA,7.5,42159,NA,244,156
"Forbidden Planet",1956,"Action",98,NA,7.7,31378,NA,360,101
"Invasion of the Body Snatchers",1956,"Horror",80,NA,7.8,31771,0.001861,253,149
"The Killing",1956,"Crime",84,NA,8.1,57284,NA,400,150
"The Man Who Knew Too Much",1956,"Thriller",120,NA,7.5,38400,0.00819,246,94
"The Searchers",1956,"Adventure",119,NA,8,57747,NA,488,121
"The Ten Commandments",1956,"Adventure",220,NA,7.9,44245,65.5,293,76
"12 Angry Men",1957,"Crime",96,NA,8.9,391804,0.000576,1605,149
"The Bridge on the River Kwai",1957,"Adventure",161,NA,8.2,134445,27.2,330,96
"Throne of Blood",1957,"Drama",110,NA,8.2,26786,0.046808,154,103
"Paths of Glory",1957,"Drama",88,NA,8.5,107342,0.005252,428,162
"The Seventh Seal",1957,"Drama",96,NA,8.3,99332,0.230571,347,121
"Wild Strawberries",1957,"Drama",91,NA,8.3,56779,0.014524,193,99
"Witness for the Prosecution",1957,"Drama",116,NA,8.4,54296,0.007693,268,98
"Cat on a Hot Tin Roof",1958,"Drama",108,NA,8.1,31205,NA,172,81
"Plan 9 from Outer Space",1959,"Horror",79,NA,4,28630,NA,499,121
"Touch of Evil",1958,"Crime",95,NA,8.2,66317,2.286947,321,115
"Vertigo",1958,"Mystery",128,NA,8.4,221443,7.796389,860,182
"Anatomy of a Murder",1959,"Crime",161,NA,8.1,41594,NA,233,117
"Ben-Hur",1959,"Adventure",212,NA,8.1,143341,74.427638,445,128
"North by Northwest",1959,"Adventure",136,NA,8.4,200791,0.073446,614,174
"The 400 Blows",1959,"Crime",99,NA,8.2,62654,0.127244,217,167
"Rio Bravo",1959,"Drama",141,NA,8.1,39517,NA,227,69
"Some Like It Hot",1959,"Comedy",121,NA,8.3,158573,83.169282,422,224
"Sleeping Beauty",1959,"Animation",75,NA,7.3,88530,51.6,193,109
"Breathless",1960,"Crime",90,NA,8,46737,0.378503,207,201
"The Apartment",1960,"Comedy",125,NA,8.3,97535,0.177066,337,233
"La Dolce Vita",1960,"Comedy",174,93,8.1,44289,0.184376,195,156
"The Magnificent Seven",1960,"Action",128,NA,7.8,59470,NA,295,130
"Psycho",1960,"Horror",109,NA,8.6,376318,32.008644,1284,236
"Spartacus",1960,"Adventure",197,NA,8,91559,1.844789,326,128
"Breakfast at Tiffany's",1961,"Comedy",115,76,7.8,111409,0.35775,454,184
"The Hustler",1961,"Drama",134,NA,8.1,58683,NA,204,111
"The Guns of Navarone",1961,"Action",158,NA,7.6,33609,NA,155,50
"Judgment at Nuremberg",1961,"Drama",179,NA,8.3,38513,0.01218,217,102
"Jules and Jim",1962,"Drama",105,NA,7.9,25132,0.446908,135,125
"101 Dalmatians",1961,"Animation",79,NA,7.2,100014,216.026182,140,100
"West Side Story",1961,"Crime",153,NA,7.6,66158,44.061777,396,137
"Yojimbo",1961,"Drama",110,NA,8.3,66442,0.046808,203,126
"Dr. No",1962,"Action",110,NA,7.3,106351,16.068461,474,138
"Lawrence of Arabia",1962,"Adventure",228,100,8.4,172014,45.710874,676,146
"Lolita",1962,"Drama",153,NA,7.7,61638,0.004631,258,100
"The Longest Day",1962,"Action",178,NA,7.8,40848,NA,235,53
"The Man Who Shot Liberty Valance",1962,"Drama",123,NA,8.1,49712,NA,258,87
"The Manchurian Candidate",1962,"Thriller",126,94,8,59152,2.757256,341,117
"To Kill a Mockingbird",1962,"Drama",129,NA,8.4,191317,0.599146,571,153
"What Ever Happened to Baby Jane?",1962,"Drama",134,NA,8.1,27927,NA,247,106
"8<U+FFFD>",1963,"Drama",138,NA,8.1,71003,0.137048,266,116
"The Birds",1963,"Horror",119,NA,7.8,117977,0.032655,550,157
"Charade",1963,"Comedy",113,NA,8,45898,0.173057,308,122
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,"Comedy",95,96,8.5,312300,9.443876,950,237
"From Russia with Love",1963,"Action",115,NA,7.5,79828,24.808046,427,118
"The Great Escape",1963,"Adventure",172,NA,8.3,148111,0.22794,363,111
"It's a Mad, Mad, Mad, Mad World",1963,"Action",210,NA,7.6,27207,46.332858,399,73
"The Pink Panther",1963,"Comedy",115,NA,7.2,35575,10.878107,184,83
"The Sword in the Stone",1963,"Animation",79,NA,7.2,57409,12,101,70
"Goldfinger",1964,"Action",110,NA,7.8,128247,51.160174,489,128
